size, statements
0, 7
1, 7
2, 10
3, 21
4, 28
5, 31
6, 70
7, 85
8, 76
9, 135
10, 106
11, 133
12, 200
13, 187
14, 266
15, 297
16, 272
17, 375
18, 358
19, 537
20, 464
21, 463
22, 626
23, 701
24, 484
25, 667
26, 702
27, 829
28, 808
29, 975
30, 850
31, 1145
32, 948
33, 1151
34, 1410
35, 1221
36, 1388
37, 1395
38, 1202
39, 1953
40, 1312
41, 1683
42, 1382
43, 1929
44, 1780
45, 2007
46, 2022
47, 2749
48, 2408
49, 2399
50, 2138
51, 3045
52, 2716
53, 3511
54, 2686
55, 3301
56, 3116
57, 3531
58, 4094
59, 3517
60, 4104
61, 3591
62, 3738
63, 4569
64, 3836
65, 4679
66, 4462
67, 4269
68, 5312
69, 4967
70, 5078
71, 5393
72, 5168
73, 5847
74, 5178
75, 6085
76, 6092
77, 5539
78, 5530
79, 6149
80, 6896
81, 6911
82, 6150
83, 7013
84, 7256
85, 6207
86, 8190
87, 7401
88, 7016
89, 8059
90, 8734
91, 8749
92, 8140
93, 9179
94, 8526
95, 9345
96, 10472
97, 9547
98, 9330
99, 9601
